AGS;car_density;ecar_share;publictransport_meandist;population;green_voteshare;afd_voteshare
01001;4915;2.4;1765;92550;242;54
01002;4528;2.2;1914;247717;289;5
01003;4685;1.8;2551;218095;23;66
01004;5463;2.4;1809;79502;146;94
01051;6193;1.9;583;135252;12;88
01053;5949;2;341;203712;158;84
01054;6325;3.1;8236;169043;17;52
01055;6431;1.9;6146;203606;155;7
01056;5617;2.2;3269;322130;18;69
01057;6253;2.4;570;131266;19;63
01058;6387;2.4;7209;278979;184;64
01059;642;2.6;7979;206038;164;59
01060;6052;2.2;4623;284988;159;76
01061;6285;1.9;7189;132419;153;8
01062;6289;2.3;3769;247973;183;66
02000;4301;2.5;2264;1892122;249;5
03101;5764;4.9;2099;251804;24;59
03102;5425;1.3;2367;104548;89;135
03103;10038;3.9;2036;125961;128;93
03151;6122;2.6;4138;180232;131;105
03153;6021;1.6;3485;134672;119;92
03154;6148;2.2;3559;92470;114;92
03155;6695;1.9;7874;133258;12;8
03157;6227;2.2;2774;138931;131;9
03158;6319;2.2;3002;120531;153;75
03159;5662;2;3551;328458;19;64
03241;5072;2.1;2466;1173891;206;67
03251;6478;2.1;8838;222816;146;7
03252;623;1.8;3864;150640;143;89
03254;5873;1.9;3976;278371;166;76
03255;6419;1.5;504;70911;113;9
03256;6406;1.9;729;123469;131;86
03257;6484;2.1;5924;159960;146;87
03351;6149;1.8;5006;181994;139;95
03352;6372;1.5;14954;201413;13;77
03353;6504;2.1;3521;261890;167;73
03354;6408;1.7;69777;49178;198;71
03355;5694;2.2;4182;187552;227;65
03356;6388;2;7841;116551;16;73
03357;6909;2;9152;167604;136;71
03358;6203;1.7;10368;145394;128;85
03359;6093;1.9;546;210306;149;78
03360;6143;2.1;7603;94362;141;86
03361;6266;1.9;4768;140913;162;78
03401;5488;1.3;1909;78385;128;102
03402;5027;2.4;1957;50535;155;81
03403;5246;2.5;229;172830;295;43
03404;5215;2.6;2002;167366;273;45
03405;5328;1.2;2324;76089;136;93
03451;639;2.1;5999;128253;162;63
03452;6235;1.9;7447;192072;124;82
03453;5893;2;1271;177701;93;96
03454;6146;2.4;11435;338052;111;61
03455;6733;1.9;6235;100277;135;74
03456;6166;2.6;11274;141269;126;52
03457;6095;1.8;9209;174348;118;89
03458;641;2.1;801;133913;166;71
03459;6438;2.2;5638;366221;153;62
03460;6149;2.5;6622;146924;131;59
03461;6078;1.6;6281;89568;133;79
03462;6388;1.4;10918;58359;105;85
04011;4343;1.7;2353;569396;221;62
04012;4507;1.5;228;115468;141;106
05111;5068;2.3;1852;629047;225;51
05112;4697;1.3;2099;502211;131;101
05113;5057;1.8;2071;584580;167;81
05114;5318;1.7;1993;228426;162;68
05116;5307;1.7;1684;268465;142;75
05117;553;1.9;206;172404;158;71
05119;5381;1.6;1705;210824;122;96
05120;5651;1.8;1992;112613;125;86
05122;6092;2.8;2083;160643;163;72
05124;4963;2;1764;358876;173;82
05154;6256;1.9;5536;319290;139;57
05158;6131;2.3;2189;489794;155;7
05162;6076;2;2426;457264;144;63
05166;6395;2.1;3013;300882;148;6
05170;6283;2.1;3261;465838;131;73
05314;5194;2.4;1684;336465;272;42
05315;4543;2;2243;1084831;28;47
05316;5503;2;1963;165748;159;79
05334;5324;2.3;204;562559;196;58
05358;6155;2.3;2635;270833;111;87
05362;6005;1.9;2477;478126;148;7
05366;6885;4.7;692;197247;119;83
05370;6334;1.8;2781;261833;117;79
05374;6571;1.9;4464;275404;126;96
05378;6431;2.4;2899;286213;184;57
05382;6156;1.9;3117;608335;167;67
05512;592;1.6;1982;118113;114;94
05513;4749;1.4;1825;263000;10;128
05515;4721;2.8;2048;320946;307;29
05554;6113;2.7;5648;379070;129;51
05558;6371;2.5;5702;224692;157;47
05562;5827;1.6;2205;619732;117;92
05566;6157;2.6;4604;456464;152;55
05570;6248;2.3;4824;282263;142;64
05711;5229;2.9;2174;338332;218;68
05754;6321;2.5;4736;371309;158;76
05758;6504;2.6;3703;253551;134;96
05762;644;2.2;3606;141819;107;77
05766;627;2.3;3228;350588;133;10
05770;6528;2.1;5419;315974;131;92
05774;5966;2.9;279;313758;153;81
05911;5774;2.1;1883;365742;188;73
05913;5021;1.8;1965;593317;18;74
05914;5264;1.5;1567;189783;114;105
05915;5513;1.9;2334;180849;112;92
05916;5009;1.2;1728;157368;114;101
05954;6205;1.9;2351;325193;152;74
05958;6525;2.1;3687;261647;10;74
05962;6251;1.6;2576;410346;106;95
05966;6778;1.9;4083;134439;9;71
05970;6431;2;308;277136;111;91
05974;6354;2.5;5365;306068;136;8
05978;6081;2;2545;398866;13;83
06411;4511;2.6;1986;162243;288;51
06412;4445;3.8;1795;773068;246;51
06413;4347;1.9;1743;134170;192;8
06414;6769;7.8;1699;283083;199;71
06431;6419;2;3387;275205;142;95
06432;634;2.2;282;300658;165;79
06433;5591;1.7;2288;280308;148;88
06434;6814;2.4;2272;239488;174;66
06435;6106;1.7;341;430838;13;112
06436;7444;1.8;2318;242420;173;69
06437;6495;1.7;5586;97577;11;107
06438;6039;1.8;2313;362137;161;8
06439;6521;2.3;3207;189614;16;82
06440;6175;2;2686;317298;149;93
06531;5616;2.1;2925;278664;176;87
06532;6442;1.8;3722;257289;107;12
06533;6517;2.1;3504;174884;118;98
06534;5809;1.9;4516;249684;159;9
06535;6829;1.6;11357;106833;92;126
06611;4485;2.4;1975;204202;231;69
06631;6382;2.3;5452;227456;103;133
06632;6593;1.5;5304;121566;79;129
06633;6352;2.6;3068;240718;116;89
06634;6614;2.2;9935;182595;101;107
06635;6679;2;6596;159154;105;103
06636;6336;1.7;673;100208;102;10
07111;5588;1.9;1682;115268;185;65
07131;6705;1.6;5819;128161;133;63
07132;6491;1.8;4038;131467;9;10
07133;633;1.8;5249;161307;107;91
07134;6467;1.3;6837;81760;69;115
07135;6732;2;8826;62666;84;76
07137;6488;1.9;4536;218210;111;85
07138;6538;1.8;4381;187440;115;95
07140;6804;1.9;7022;105566;98;93
07141;6534;1.9;7247;124381;11;86
07143;6766;2.2;6975;206282;101;89
07211;4837;1.9;1737;112195;217;57
07231;6639;1.8;1120;115099;95;76
07232;6581;1.9;15853;103642;92;64
07233;6861;1.6;1271;61769;88;75
07235;6645;2.9;10632;153860;116;65
07311;5497;1.3;217;49051;107;127
07312;4905;2.2;1762;101228;151;12
07313;5875;2.5;2188;47610;222;68
07314;4859;1.7;1904;174265;121;126
07315;4592;2.1;1864;220552;274;44
07316;6181;2.3;2112;53981;159;101
07317;5705;1.6;1588;40682;63;154
07318;5779;1.8;2017;51368;165;10
07319;5477;1.6;1827;84646;12;12
07320;6204;1.9;2059;34534;95;132
07331;6604;2.1;3317;132536;112;111
07332;6848;2.2;3855;134546;125;101
07333;6716;2.1;5574;76208;95;121
07334;6425;1.8;3781;130793;108;126
07335;6436;1.8;412;108216;86;133
07336;6703;1.3;5563;71462;74;129
07337;6946;2.2;3139;112631;129;96
07338;6601;1.8;4467;155921;124;106
07339;6675;2.2;321;214948;161;72
07340;7157;1.7;5398;94899;72;119
08111;4785;3.8;2223;632865;251;56
08115;6463;3.8;2444;398528;168;87
08116;6249;3;2155;540226;175;81
08117;6451;2.1;2395;261857;126;115
08118;6104;2.3;2316;551051;176;88
08119;6242;2.3;2634;432397;15;98
08121;5369;1.8;1959;128334;152;123
08125;7086;2.1;3104;353283;127;129
08126;7393;2.1;3078;115063;125;135
08127;6581;2.2;3547;202834;138;123
08128;6761;1.7;6261;134745;119;114
08135;6379;1.6;3147;135035;124;121
08136;6546;1.9;2867;319631;133;104
08211;6291;2.7;2276;57025;172;81
08212;4602;2.8;2185;308707;278;68
08215;629;2.3;3125;454613;153;105
08216;6521;2.4;3748;234981;136;112
08221;3781;2.3;1799;162273;329;48
08222;4917;2;1999;315554;212;91
08225;6635;1.9;4731;145493;103;125
08226;643;2.5;2752;555352;166;94
08231;4962;2.1;1443;127849;124;159
08235;6627;3.1;3204;162853;118;129
08236;6681;2.4;2994;202536;133;125
08237;6525;1.9;5358;121164;109;128
08311;4042;2.6;2082;236140;36;44
08315;6022;2.5;3749;269948;208;66
08316;6105;2.3;3321;170996;195;75
08317;631;2.2;4748;441885;146;101
08325;6736;2;3158;142593;106;134
08326;6181;2;2766;217181;133;111
08327;6289;2.2;18838;144891;111;133
08335;5624;2.5;2412;292568;21;85
08336;5958;2.4;3842;233027;184;87
08337;6329;2.4;3913;173460;154;94
08415;6268;2.1;2774;291696;159;103
08416;5537;2.3;2253;232803;259;66
08417;6762;1.8;3199;193235;11;13
08421;525;2.6;1905;128928;246;69
08425;652;2.2;3861;202476;138;104
08426;6542;2.3;4198;206513;136;11
08435;6343;2.3;3231;222712;176;85
08436;635;2.3;582;290911;171;88
08437;6624;1.9;694;134045;121;114
09161;6872;4.1;1927;141029;138;101
09162;4925;3.3;2052;1512491;261;45
09163;555;2;2679;64403;17;87
09171;6402;2.1;15433;113798;10;104
09172;6175;2;7902;107667;114;89
09173;6335;2;6484;129511;138;83
09174;6066;2.2;4287;156982;144;77
09175;592;2.7;4128;146830;171;63
09176;6357;2.1;11405;135591;10;94
09177;6436;2.2;7951;141680;122;84
09178;6004;2.4;6077;184433;162;79
09179;5647;2.2;218;221612;172;62
09180;599;1.9;4475;88840;124;78
09181;6805;3.3;9061;123032;174;74
09182;6644;2.4;8722;101346;129;76
09183;6375;2.1;13171;119878;91;112
09184;6708;3.9;2588;355890;185;53
09185;668;1.7;16444;99957;94;108
09186;6501;2.3;17465;132082;109;104
09187;6569;2.4;10269;266945;13;87
09188;6424;3.3;326;138785;191;5
09189;6612;2.3;11537;180779;127;84
